<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
MOEX.QGDO:TQBR;60;02/12/20;20:00:00;3010.0000000;3025.0000000;3004.0000000;3014.5000000;3291
MOEX.QGDO:TQBR;60;02/12/20;21:00:00;3015.0000000;3023.0000000;3010.0000000;3014.0000000;2469
MOEX.QGDO:TQBR;60;02/12/20;22:00:00;3014.0000000;3019.0000000;3010.0000000;3014.0000000;2426
MOEX.QGDO:TQBR;60;02/12/20;23:00:00;3014.0000000;3025.0000000;3010.0000000;3024.0000000;6545
MOEX.QGDO:TQBR;60;03/12/20;00:00:00;3024.0000000;3230.0000000;3024.0000000;3184.0000000;174454
MOEX.QGDO:TQBR;60;03/12/20;11:00:00;3129.0000000;3150.0000000;3085.5000000;3108.0000000;30962
MOEX.QGDO:TQBR;60;03/12/20;12:00:00;3108.5000000;3160.0000000;3100.0000000;3127.0000000;27904
MOEX.QGDO:TQBR;60;03/12/20;13:00:00;3127.0000000;3169.5000000;3123.0000000;3158.0000000;25103
MOEX.QGDO:TQBR;60;03/12/20;14:00:00;3158.0000000;3166.0000000;3140.0000000;3158.5000000;16394
MOEX.QGDO:TQBR;60;03/12/20;15:00:00;3160.5000000;3169.5000000;3156.0000000;3164.0000000;22809
MOEX.QGDO:TQBR;60;03/12/20;16:00:00;3166.0000000;3199.0000000;3164.5000000;3195.5000000;25875
MOEX.QGDO:TQBR;60;03/12/20;17:00:00;3195.0000000;3223.5000000;3190.5000000;3221.5000000;56684
MOEX.QGDO:TQBR;60;03/12/20;18:00:00;3222.0000000;3424.0000000;3217.5000000;3382.0000000;241975
MOEX.QGDO:TQBR;60;03/12/20;19:00:00;3384.0000000;3548.0000000;3375.0000000;3492.0000000;137075
MOEX.QGDO:TQBR;60;03/12/20;20:00:00;3492.0000000;3524.0000000;3330.0000000;3478.0000000;129332
MOEX.QGDO:TQBR;60;03/12/20;21:00:00;3477.5000000;3488.0000000;3421.5000000;3477.0000000;43107
MOEX.QGDO:TQBR;60;03/12/20;22:00:00;3476.0000000;3520.0000000;3425.0000000;3464.5000000;34594
MOEX.QGDO:TQBR;60;03/12/20;23:00:00;3468.0000000;3549.5000000;3450.5000000;3540.0000000;48414
MOEX.QGDO:TQBR;60;04/12/20;00:00:00;3540.0000000;3649.0000000;3539.5000000;3614.5000000;71994
MOEX.QGDO:TQBR;60;04/12/20;11:00:00;3589.5000000;3984.0000000;3570.5000000;3822.0000000;247585
MOEX.QGDO:TQBR;60;04/12/20;12:00:00;3822.0000000;3849.5000000;3662.0000000;3720.0000000;107452
MOEX.QGDO:TQBR;60;04/12/20;13:00:00;3720.0000000;3744.5000000;3650.5000000;3719.5000000;75802
MOEX.QGDO:TQBR;60;04/12/20;14:00:00;3719.0000000;3813.0000000;3711.0000000;3782.0000000;46500
MOEX.QGDO:TQBR;60;04/12/20;15:00:00;3782.0000000;3787.5000000;3700.0000000;3716.0000000;50310
MOEX.QGDO:TQBR;60;04/12/20;16:00:00;3716.0000000;3730.0000000;3661.5000000;3694.5000000;60637
MOEX.QGDO:TQBR;60;04/12/20;17:00:00;3693.5000000;3730.0000000;3693.0000000;3709.0000000;37462
MOEX.QGDO:TQBR;60;04/12/20;18:00:00;3705.0000000;3715.0000000;3450.0000000;3560.0000000;161941
MOEX.QGDO:TQBR;60;04/12/20;19:00:00;3560.0000000;3582.5000000;3428.5000000;3450.5000000;67065
MOEX.QGDO:TQBR;60;04/12/20;20:00:00;3500.0000000;3675.0000000;3470.5000000;3673.0000000;64574
MOEX.QGDO:TQBR;60;04/12/20;21:00:00;3673.0000000;3774.0000000;3612.0000000;3657.5000000;113848
MOEX.QGDO:TQBR;60;04/12/20;22:00:00;3652.5000000;3665.5000000;3600.0000000;3654.0000000;30478
MOEX.QGDO:TQBR;60;04/12/20;23:00:00;3654.0000000;3663.0000000;3636.0000000;3652.5000000;11413
MOEX.QGDO:TQBR;60;05/12/20;00:00:00;3651.0000000;3652.5000000;3540.0000000;3556.0000000;27713
MOEX.QGDO:TQBR;60;07/12/20;11:00:00;3567.0000000;3675.0000000;3511.5000000;3621.5000000;68417
MOEX.QGDO:TQBR;60;07/12/20;12:00:00;3622.0000000;3647.0000000;3555.0000000;3577.0000000;25941
MOEX.QGDO:TQBR;60;07/12/20;13:00:00;3577.0000000;3610.0000000;3575.0000000;3605.0000000;13502
MOEX.QGDO:TQBR;60;07/12/20;14:00:00;3604.5000000;3606.0000000;3577.0000000;3587.5000000;10284
MOEX.QGDO:TQBR;60;07/12/20;15:00:00;3585.5000000;3588.5000000;3561.0000000;3562.5000000;10459
MOEX.QGDO:TQBR;60;07/12/20;16:00:00;3563.5000000;3579.0000000;3516.0000000;3528.0000000;12803
MOEX.QGDO:TQBR;60;07/12/20;17:00:00;3527.5000000;3549.0000000;3482.5000000;3485.0000000;21397
MOEX.QGDO:TQBR;60;07/12/20;18:00:00;3482.5000000;3570.0000000;3445.0000000;3477.0000000;78884
