<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
ARSF-RM;60;17/11/20;20:00:00;16534.0000000;16534.0000000;16410.0000000;16421.0000000;55
ARSF-RM;60;17/11/20;21:00:00;16492.0000000;16492.0000000;16475.0000000;16475.0000000;11
ARSF-RM;60;17/11/20;22:00:00;16475.0000000;16476.0000000;16443.0000000;16443.0000000;16
ARSF-RM;60;17/11/20;23:00:00;16443.0000000;16448.0000000;16400.0000000;16400.0000000;83
ARSF-RM;60;18/11/20;00:00:00;16414.0000000;16414.0000000;16339.0000000;16358.0000000;26
ARSF-RM;60;18/11/20;11:00:00;16351.0000000;16351.0000000;16280.0000000;16280.0000000;60
ARSF-RM;60;18/11/20;12:00:00;16267.0000000;16295.0000000;16224.0000000;16295.0000000;9
ARSF-RM;60;18/11/20;13:00:00;16282.0000000;16300.0000000;16246.0000000;16252.0000000;49
ARSF-RM;60;18/11/20;14:00:00;16251.0000000;16287.0000000;16246.0000000;16269.0000000;119
ARSF-RM;60;18/11/20;15:00:00;16292.0000000;16339.0000000;16269.0000000;16269.0000000;64
ARSF-RM;60;18/11/20;16:00:00;16292.0000000;16292.0000000;16269.0000000;16292.0000000;14
ARSF-RM;60;18/11/20;17:00:00;16292.0000000;16325.0000000;16269.0000000;16300.0000000;65
ARSF-RM;60;18/11/20;18:00:00;16309.0000000;16351.0000000;16224.0000000;16224.0000000;97
ARSF-RM;60;18/11/20;19:00:00;16224.0000000;16224.0000000;16120.0000000;16123.0000000;109
ARSF-RM;60;18/11/20;20:00:00;16171.0000000;16171.0000000;16127.0000000;16144.0000000;31
ARSF-RM;60;18/11/20;21:00:00;16193.0000000;16213.0000000;16181.0000000;16181.0000000;61
ARSF-RM;60;18/11/20;22:00:00;16181.0000000;16182.0000000;16111.0000000;16111.0000000;286
ARSF-RM;60;18/11/20;23:00:00;16111.0000000;16155.0000000;16111.0000000;16155.0000000;39
ARSF-RM;60;19/11/20;00:00:00;16184.0000000;16184.0000000;16123.0000000;16130.0000000;35
ARSF-RM;60;19/11/20;11:00:00;16126.0000000;16127.0000000;16102.0000000;16122.0000000;21
ARSF-RM;60;19/11/20;12:00:00;16140.0000000;16140.0000000;16120.0000000;16120.0000000;84
ARSF-RM;60;19/11/20;13:00:00;16120.0000000;16176.0000000;16120.0000000;16154.0000000;18
ARSF-RM;60;19/11/20;14:00:00;16152.0000000;16164.0000000;16151.0000000;16164.0000000;34
