<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
NDMS-RM;60;15/09/20;00:00:00;8697.0000000;8765.0000000;8646.0000000;8746.0000000;123
NDMS-RM;60;15/09/20;11:00:00;8801.0000000;8831.0000000;8731.0000000;8810.0000000;1670
NDMS-RM;60;15/09/20;12:00:00;8811.0000000;8835.0000000;8798.0000000;8835.0000000;489
NDMS-RM;60;15/09/20;13:00:00;8825.0000000;8884.0000000;8814.0000000;8867.0000000;518
NDMS-RM;60;15/09/20;14:00:00;8867.0000000;8868.0000000;8799.0000000;8830.0000000;473
NDMS-RM;60;15/09/20;15:00:00;8832.0000000;8845.0000000;8800.0000000;8826.0000000;476
NDMS-RM;60;15/09/20;16:00:00;8832.0000000;8888.0000000;8818.0000000;8875.0000000;4502
NDMS-RM;60;15/09/20;17:00:00;8888.0000000;8921.0000000;8815.0000000;8884.0000000;1140
NDMS-RM;60;15/09/20;18:00:00;8888.0000000;8888.0000000;8694.0000000;8745.0000000;3343
NDMS-RM;60;15/09/20;19:00:00;8745.0000000;8818.0000000;8745.0000000;8812.0000000;950
NDMS-RM;60;15/09/20;20:00:00;8815.0000000;8864.0000000;8797.0000000;8843.0000000;346
NDMS-RM;60;15/09/20;21:00:00;8836.0000000;8864.0000000;8741.0000000;8759.0000000;622
NDMS-RM;60;15/09/20;22:00:00;8759.0000000;8759.0000000;8620.0000000;8657.0000000;3972
NDMS-RM;60;15/09/20;23:00:00;8656.0000000;8682.0000000;8537.0000000;8672.0000000;3050
NDMS-RM;60;16/09/20;00:00:00;8673.0000000;8691.0000000;8659.0000000;8683.0000000;619
NDMS-RM;60;16/09/20;11:00:00;8700.0000000;8701.0000000;8670.0000000;8701.0000000;479
NDMS-RM;60;16/09/20;12:00:00;8700.0000000;8700.0000000;8670.0000000;8670.0000000;758
NDMS-RM;60;16/09/20;13:00:00;8670.0000000;8696.0000000;8660.0000000;8685.0000000;304
NDMS-RM;60;16/09/20;14:00:00;8685.0000000;8722.0000000;8665.0000000;8710.0000000;1717
NDMS-RM;60;16/09/20;15:00:00;8701.0000000;8701.0000000;8618.0000000;8638.0000000;418
NDMS-RM;60;16/09/20;16:00:00;8650.0000000;8658.0000000;8625.0000000;8640.0000000;172
NDMS-RM;60;16/09/20;17:00:00;8636.0000000;8688.0000000;8578.0000000;8603.0000000;264
NDMS-RM;60;16/09/20;18:00:00;8603.0000000;8624.0000000;8516.0000000;8549.0000000;875
NDMS-RM;60;16/09/20;19:00:00;8549.0000000;8566.0000000;8520.0000000;8522.0000000;473
NDMS-RM;60;16/09/20;20:00:00;8520.0000000;8526.0000000;8485.0000000;8509.0000000;472
NDMS-RM;60;16/09/20;21:00:00;8500.0000000;8521.0000000;8470.0000000;8499.0000000;1285
NDMS-RM;60;16/09/20;22:00:00;8499.0000000;8582.0000000;8488.0000000;8500.0000000;3857
NDMS-RM;60;16/09/20;23:00:00;8505.0000000;8505.0000000;8425.0000000;8433.0000000;1345
NDMS-RM;60;17/09/20;00:00:00;8433.0000000;8482.0000000;8430.0000000;8482.0000000;348
NDMS-RM;60;17/09/20;11:00:00;8590.0000000;8600.0000000;8000.0000000;8389.0000000;592
NDMS-RM;60;17/09/20;12:00:00;8381.0000000;8381.0000000;8330.0000000;8376.0000000;548
NDMS-RM;60;17/09/20;13:00:00;8376.0000000;8376.0000000;8370.0000000;8370.0000000;209
NDMS-RM;60;17/09/20;14:00:00;8370.0000000;8375.0000000;8317.0000000;8317.0000000;1053
NDMS-RM;60;17/09/20;15:00:00;8330.0000000;8330.0000000;8270.0000000;8270.0000000;883
NDMS-RM;60;17/09/20;16:00:00;8272.0000000;8292.0000000;8245.0000000;8247.0000000;830
NDMS-RM;60;17/09/20;17:00:00;8250.0000000;8356.0000000;8204.0000000;8304.0000000;2634
NDMS-RM;60;17/09/20;18:00:00;8330.0000000;8392.0000000;8276.0000000;8376.0000000;1059
NDMS-RM;60;17/09/20;19:00:00;8400.0000000;8441.0000000;8320.0000000;8333.0000000;405
NDMS-RM;60;17/09/20;20:00:00;8329.0000000;8333.0000000;8225.0000000;8262.0000000;575
NDMS-RM;60;17/09/20;21:00:00;8264.0000000;8319.0000000;8248.0000000;8285.0000000;300
NDMS-RM;60;17/09/20;22:00:00;8285.0000000;8306.0000000;8220.0000000;8249.0000000;602
NDMS-RM;60;17/09/20;23:00:00;8237.0000000;8320.0000000;8223.0000000;8294.0000000;144
NDMS-RM;60;18/09/20;00:00:00;8312.0000000;8395.0000000;8312.0000000;8393.0000000;233
NDMS-RM;60;18/09/20;11:00:00;8350.0000000;8372.0000000;8343.0000000;8343.0000000;212
NDMS-RM;60;18/09/20;12:00:00;8343.0000000;8368.0000000;8321.0000000;8368.0000000;115
NDMS-RM;60;18/09/20;13:00:00;8375.0000000;8406.0000000;8366.0000000;8401.0000000;180
NDMS-RM;60;18/09/20;14:00:00;8400.0000000;8400.0000000;8373.0000000;8380.0000000;252
NDMS-RM;60;18/09/20;15:00:00;8373.0000000;8385.0000000;8319.0000000;8351.0000000;637
NDMS-RM;60;18/09/20;16:00:00;8351.0000000;8392.0000000;8319.0000000;8370.0000000;710
NDMS-RM;60;18/09/20;17:00:00;8383.0000000;8417.0000000;8265.0000000;8285.0000000;1455
NDMS-RM;60;18/09/20;18:00:00;8288.0000000;8310.0000000;8180.0000000;8180.0000000;3198
NDMS-RM;60;18/09/20;19:00:00;8180.0000000;8201.0000000;8125.0000000;8186.0000000;1185
NDMS-RM;60;18/09/20;20:00:00;8181.0000000;8213.0000000;8066.0000000;8090.0000000;1538
NDMS-RM;60;18/09/20;21:00:00;8090.0000000;8120.0000000;8044.0000000;8120.0000000;477
NDMS-RM;60;18/09/20;22:00:00;8115.0000000;8149.0000000;8088.0000000;8138.0000000;296
NDMS-RM;60;18/09/20;23:00:00;8143.0000000;8193.0000000;8087.0000000;8099.0000000;571
NDMS-RM;60;19/09/20;00:00:00;8099.0000000;8145.0000000;8099.0000000;8142.0000000;69
NDMS-RM;60;21/09/20;11:00:00;8150.0000000;8150.0000000;7900.0000000;8000.0000000;938
NDMS-RM;60;21/09/20;12:00:00;7997.0000000;8019.0000000;7958.0000000;7982.0000000;550
NDMS-RM;60;21/09/20;13:00:00;7973.0000000;8030.0000000;7945.0000000;7950.0000000;587
NDMS-RM;60;21/09/20;14:00:00;7959.0000000;8029.0000000;7959.0000000;8017.0000000;423
NDMS-RM;60;21/09/20;15:00:00;8014.0000000;8014.0000000;7895.0000000;7979.0000000;607
NDMS-RM;60;21/09/20;16:00:00;7967.0000000;7979.0000000;7937.0000000;7979.0000000;167
NDMS-RM;60;21/09/20;17:00:00;7979.0000000;8230.0000000;7918.0000000;8215.0000000;1477
NDMS-RM;60;21/09/20;18:00:00;8215.0000000;8217.0000000;8010.0000000;8053.0000000;1537
NDMS-RM;60;21/09/20;19:00:00;8061.0000000;8145.0000000;8050.0000000;8137.0000000;767
NDMS-RM;60;21/09/20;20:00:00;8150.0000000;8210.0000000;8150.0000000;8164.0000000;861
NDMS-RM;60;21/09/20;21:00:00;8151.0000000;8236.0000000;8139.0000000;8181.0000000;2100
NDMS-RM;60;21/09/20;22:00:00;8181.0000000;8194.0000000;8139.0000000;8194.0000000;1270
NDMS-RM;60;21/09/20;23:00:00;8194.0000000;8409.0000000;8194.0000000;8409.0000000;1725
NDMS-RM;60;22/09/20;00:00:00;8420.0000000;8450.0000000;8334.0000000;8339.0000000;993
NDMS-RM;60;22/09/20;11:00:00;8350.0000000;8500.0000000;8286.0000000;8378.0000000;934
NDMS-RM;60;22/09/20;12:00:00;8378.0000000;8468.0000000;8378.0000000;8450.0000000;688
